Country,Continent,Years,Internet access,Emissions range,Fertility,Emissions,Internet
New Zealand,Oceania,12.5,High,High,1.97,7.34,89
Nicaragua,Americas,6.7,Low,Low,2.14,0.862,37.6
Nigeria,Africa,6.2,Low,Low,5.39,0.65,31.9
North Macedonia,Europe,9.6,High,Moderate,1.55,3.49,79.2
Norway,Europe,14.2,Very high,High,1.83,8.31,96.5
Oman,Asia,9.5,High,Very high,2.52,13.9,85.5
Pakistan,Asia,5.2,Low,Low,3.35,1.05,15.3
Palestine,Asia,9.1,Moderate,Low,3.88,0.661,64.4
Panama,Americas,10.2,Moderate,Moderate,2.46,2.62,61.8
Paraguay,Americas,8.4,Moderate,Low,2.43,1.07,65
Peru,Americas,9.2,Moderate,Low,2.34,1.74,55.1
Philippines,Asia,9.3,Low,Low,2.86,1.27,44.1
Poland,Europe,12.3,High,High,1.29,9.07,77.5
Portugal,Europe,9.2,High,Moderate,1.24,4.97,74.7
Qatar,Asia,9.8,Very high,Very high,1.87,38,99.7
Romania,Europe,11,High,Moderate,1.54,3.8,70.7
Russia,Europe,12,High,Very high,1.76,11.7,80.9
Rwanda,Africa,4.1,Low,Low,3.74,0.0913,25
Sao Tome and Principe,Africa,6.3,Low,Low,4.33,0.587,31.9
Saudi Arabia,Asia,9.5,Very high,Very high,2.45,18.4,93.3
Senegal,Africa,3,Low,Low,4.62,0.739,35.3
Serbia,Europe,11.1,High,High,1.62,5.17,73.4
Seychelles,Africa,9.5,High,High,2.25,6.75,70.1
Sierra Leone,Africa,3.5,Low,Low,4.26,0.141,15.8
Singapore,Asia,11.5,High,High,1.26,7.1,88.2
Slovenia,Europe,12.2,High,High,1.65,6.95,79.7
South Africa,Africa,10.1,Moderate,High,2.4,8.1,62.4
South Korea,Asia,12.1,Very high,Very high,1.33,12.9,96
South Sudan,Africa,4.8,Low,Low,4.7,0.171,4.8
Spain,Europe,9.8,High,High,1.39,5.75,86.1
Sri Lanka,Asia,10.9,Low,Low,2.02,1.1,26
Sudan,Africa,3.7,Low,Low,4.41,0.504,24.6
Suriname,Americas,8.5,Moderate,Moderate,2.32,3.1,53.8
Sweden,Europe,12.4,High,Moderate,1.91,4.12,89.2
Switzerland,Europe,13.4,Very high,Moderate,1.55,4.33,91.8
Syria,Asia,5.1,Low,Low,2.82,1.67,33.8
Tanzania,Africa,5.8,Low,Low,4.89,0.222,19
Thailand,Asia,7.6,Moderate,Moderate,1.45,4.15,56.8
Togo,Africa,4.8,Low,Low,4.32,0.434,15.5
Tunisia,Africa,7.2,Moderate,Moderate,2.15,2.73,64.2
Turkey,Asia,8,High,High,2.02,5.2,71
Uganda,Africa,6.1,Low,Low,5.41,0.135,10.9
Ukraine,Europe,11.3,Moderate,High,1.56,5.09,62.6
United Arab Emirates,Asia,10.8,Very high,Very high,1.72,21.4,98.5
United Kingdom,Europe,12.9,Very high,High,1.87,5.65,90.7
United States,Americas,13.5,High,Very high,1.9,16.6,88.5
Uruguay,Americas,8.7,High,Moderate,1.97,2.01,80.7
Uzbekistan,Asia,11.5,Moderate,Moderate,2.23,2.81,55.2
Vietnam,Asia,8.2,Moderate,Moderate,1.95,2.16,69.8
Zambia,Africa,7,Low,Low,4.87,0.302,14.3
Zimbabwe,Africa,8.2,Low,Low,3.61,0.85,25
